title,description,features,url,scraped_at,price
3-pokojowe mieszkanie 45m2 + ogródek Bez Prowizji,,[],https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-45m2-ogrodek-bez-prowizji-ID4ugQM,2025-07-26T20:07:34.492498,
✅Przestronne M3✅Po remoncie✅Gotowe do wprowadzenia✅Garaż✅Bezpośrednio,,[],https://www.otodom.pl/pl/oferta/przestronne-m3po-remonciegotowe-do-wprowadzeniagarazbezposrednio-ID4x9Os,2025-07-26T20:07:35.967513,949000.0
Blisko Metra Młynów| Po Remoncie,,[],https://www.otodom.pl/pl/oferta/blisko-metra-mlynow-po-remoncie-ID4vMuv,2025-07-26T20:07:37.299926,835000.0
Mega widok /Port Praski/3 pokoje/garaż,,[],https://www.otodom.pl/pl/oferta/mega-widok-port-praski-3-pokoje-garaz-ID4xf4D,2025-07-26T20:07:38.635967,1840000.0
Kawalerka vis a vis CZD. Miejsce postojowe w garażu i komórka w cenie,,[],https://www.otodom.pl/pl/oferta/kawalerka-vis-a-vis-czd-miejsce-postojowe-w-garazu-i-komorka-w-cenie-ID4vxwI,2025-07-26T20:07:39.991248,550000.0
"Nowoczesne 3-pok. mieszkanie 60,6 m², gotowe do wprowadzenia!",,[],https://www.otodom.pl/pl/oferta/nowoczesne-3-pok-mieszkanie-60-6-m-gotowe-do-wprowadzenia-ID4xr00,2025-07-26T20:07:41.283330,884800.0
"Na sprzedaż: 3-pokojowe mieszkanie – Wola, ul. Jana Kazimierza",,[],https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-wola-ul-jana-kazimierza-ID4x9yz,2025-07-26T20:07:42.633899,1160000.0
sprzedam mieszkanie,,[],https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID4x9yj,2025-07-26T20:07:43.960742,669000.0
3-pokojowe mieszkanie 59m2 + balkon,,[],https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-ID4uoeJ,2025-07-26T20:07:45.960451,780129.0
,,[],https://www.otodom.pl/pl/oferta/nu2-warszawa-wola-ID4um08,2025-07-26T20:07:47.708318,
"Gotowe, Bezczynszowe 3 pokoje 61 m2+ poddasze 60m",,[],https://www.otodom.pl/pl/oferta/gotowe-bezczynszowe-3-pokoje-61-m2-poddasze-60m-ID4wSJB,2025-07-26T20:07:48.998697,728040.0
