title,price,area,rooms,floor,rent,finish_state,market,ownership,advertiser_type,year_built,elevator,building_type,building_material,address,features,url,scraped_at
2-pokojowe mieszkanie przy Lesie Kabackim – gotowe do zamieszkania!,1180000.0,54.0,2,3,900.0,do zamieszkania,wtórny,pełna własność,prywatny,2003.0,True,blok,cegła,"ul. Stefana Dembego, ul. Stefana Dembego","['parkingowe', 'telewizja', 'pom.', 'oddzielna', 'internet', 'kuchnia', 'garaż/miejsce', 'piekarnik', 'kablowa', 'meble', 'pralka', 'użytkowe', 'zmywarka', 'balkon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-przy-lesie-kabackim-gotowe-do-zamieszkania-ID4x9AH,2025-07-26T21:18:03.636133
"Piękne mieszkanie na Białołęce o pow. 90mkw, 3 pokoje, balkon",1149000.0,90.0,3,2,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2000.0,False,,,"ul. Poetów, ul. Poetów","['kuchenka', 'balkon', 'lodówka', 'zmywarka']",https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-bialolece-o-pow-90mkw-3-pokoje-balkon-ID4x6cu,2025-07-26T21:18:05.018622
,569194.0,69.0,3,,,,,,,,,,,,[],https://www.otodom.pl/pl/oferta/ursus-centralny-ID4umKd,2025-07-26T21:18:07.042535
3-pokojowe mieszkanie 60m2 + taras Bez Pośredników,,60.98,3,4,,do wykończenia,pierwotny,pełna własność,deweloper,2027.0,True,,,"Warszawa, winda. Otodom 66352499","['parkingowe', 'garaż/miejsce', 'taras']",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-taras-bez-posrednikow-ID4upjB,2025-07-26T21:18:08.601552
2-pokojowe mieszkanie 45m2 + loggia Bez Prowizji,,45.32,2,2,,do wykończenia,pierwotny,pełna własność,deweloper,2027.0,True,,,"Warszawa, winda. Otodom 66352618","['parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-loggia-bez-prowizji-ID4uplv,2025-07-26T21:18:10.315144
4pok. STOKŁOSY | funkcjonalny rozkład | METRO | widne i słoneczne,850000.0,63.4,4,4,1395.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1978.0,False,blok,wielka płyta,"ul. Jana Cybisa, ul. Jana Cybisa","['telewizja', 'oddzielna', 'kablowa', 'kuchnia', 'piekarnik', 'internet', 'pralka', 'piwnica', 'balkon', 'telefon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/4pok-stoklosy-funkcjonalny-rozklad-metro-widne-i-sloneczne-ID4xr0R,2025-07-26T21:18:11.604777
"3 lub 4 pok. , Praga Południe-Centrum",699000.0,48.0,3,3,,do zamieszkania,wtórny,pełna własność,prywatny,1958.0,False,kamienica,cegła,"ul. Igańska, ul. Igańska","['oddzielna', 'internet', 'kuchnia', 'piekarnik', 'pralka', 'piwnica', 'zmywarka', 'balkon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/3-lub-4-pok-praga-poludnie-centrum-ID4xr0L,2025-07-26T21:18:13.064293
!!  NAJLEPSZE mieszkanie na osiedlu AURA GARDEN  !!,699000.0,54.5,3,1,874.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020.0,True,blok,żelbet,"Warszawa, garaż/miejsce parkingowe. Otodom 67004027","['parkingowe', 'telewizja', 'pom.', 'internet', 'kablowa', 'piekarnik', 'garaż/miejsce', 'meble', 'pralka', 'użytkowe', 'zmywarka', 'balkon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/najlepsze-mieszkanie-na-osiedlu-aura-garden-ID4x8O7,2025-07-26T21:18:14.394631
"3-pokoje 54,38m2, piwnica! do wprowadzenia!",795000.0,54.38,3,10,1112.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1974.0,True,blok,inny,"Warszawa, domofon / wideofon. Otodom 67074004","['piekarnik', 'lodówka', 'piwnica', 'pralka']",https://www.otodom.pl/pl/oferta/3-pokoje-54-38m2-piwnica-do-wprowadzenia-ID4xr0M,2025-07-26T21:18:15.689680
Nowoczesne 2-pokojowe mieszkanie z widokiem na ogród,664900.0,24.0,2,3Czynsz:brak informacjiStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:2025-06-16Typ ogłoszeniodawcy:prywatnyInformacje dodatkowe:brak informacjiBudynek i materiałyWinda:nieRodzaj zabudowy:blokOkna:plastikoweWyposażenieWyposażenie:meble zmywarka lodówka kuchenka piekarnikZabezpieczenia:drzwi,,do zamieszkania,wtórny,pełna własność,prywatny,,False,blok,,"ul. Ciasna, ul. Ciasna","['telewizja', 'internet', 'kablowa', 'piekarnik', 'brak', 'meble', 'informacji', 'zmywarka', 'telefon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-z-widokiem-na-ogrod-ID4vSYd,2025-07-26T21:18:17.305733
